symbol,exchange,type,organ_short_name,organ_name,product_grp_id,icb_code2
ACL,HSX,STOCK,Thủy sản CL An Giang,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,STO,3500
ACG,HSX,STOCK,Gỗ An Cường,Công ty Cổ phần Gỗ An Cường,STO,1700
ACC,HSX,STOCK,Đầu tư và XD Bình Dương ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,STO,2300
ACB,HSX,STOCK,ACB,Ngân hàng Thương mại Cổ phần Á Châu,STO,8300
ABT,HSX,STOCK,Thủy sản Bến Tre,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,STO,3500
ABS,HSX,STOCK,DV Nông nghiệp Bình Thuận,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,STO,1300
ABR,HSX,STOCK,Đầu tư Nhãn Hiệu Việt,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,STO,2700
AAV,HNX,STOCK,Việt Tiên Sơn Địa ốc,Công ty Cổ phần AAV Group,STX,8600
AAT,HSX,STOCK,Tập đoàn Tiên Sơn Thanh Hóa,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,STO,3700
AAM,HSX,STOCK,Thủy sản Mekong,Công ty Cổ Phần Thủy Sản MeKong,STO,3500
AAA,HSX,STOCK,An Phát Bioplastics,Công ty Cổ phần Nhựa An Phát Xanh,STO,1300
