symbol,exchange,type,organ_short_name,organ_name,product_grp_id,icb_code2
MBB,HSX,STOCK,MBBank,Ngân hàng Thương mại Cổ phần Quân đội,STO,8300
MAS,HNX,STOCK,Sân bay Đà Nẵng,Công ty cổ phần Dịch vụ Hàng Không Sân Bay Đà Nẵng,STX,5700
MAC,HNX,STOCK,Tập đoàn Macstar,Công ty Cổ phần Tập đoàn Macstar,STX,2700
LSS,HSX,STOCK,Mía đường Lam Sơn,Công ty Cổ phần Mía đường Lam Sơn,STO,3500
LPB,HSX,STOCK,LPBank,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,STO,8300
LM8,HSX,STOCK,LILAMA 18,Công ty Cổ phần Lilama 18,STO,2300
LIX,HSX,STOCK,Bột Giặt LIX,Công ty Cổ phần Bột Giặt LIX,STO,3700
LIG,HNX,STOCK,Licogi 13,Công ty Cổ phần Licogi 13,STX,2300
LHG,HSX,STOCK,KCN Long Hậu,Công ty Cổ phần Long Hậu,STO,8600
LHC,HNX,STOCK,XD Thủy lợi Lâm Đồng,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,STX,2300
LGL,HSX,STOCK,Long Giang Land,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,STO,8600
LGC,HSX,STOCK,Đầu tư Cầu đường CII,Công ty Cổ phần Đầu tư Cầu đường CII,STO,2300
LDP,HNX,STOCK,Dược Lâm Đồng - Ladophar,Công ty Cổ phần Dược Lâm Đồng - Ladophar,STX,4500
LDG,HSX,STOCK,Đầu tư LDG,Công ty Cổ phần Đầu tư LDG,STO,8600
LCG,HSX,STOCK,LIZEN,Công ty Cổ phần Lizen,STO,2300
LCD,HNX,STOCK,Thí nghiệm cơ điện,Công ty Cổ phần Lắp máy - Thí nghiệm cơ điện,STX,2300
LBM,HSX,STOCK,Khoáng sản Lâm Đồng,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,STO,2300
LBE,HNX,STOCK,Thương mại và Dịch vụ LVA,Công ty Cổ phần Thương mại và Dịch vụ LVA,STX,3700
LAS,HNX,STOCK,Hóa chất Lâm Thao,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,STX,1300
LAF,HSX,STOCK,Chế biến Hàng XK Long An,Công ty Cổ phần Chế biến Hàng Xuất khẩu Long An,STO,3500
L40,HNX,STOCK,Đầu tư và Xây dựng 40,Công ty Cổ phần Đầu tư và Xây dựng 40,STX,2300
L18,HNX,STOCK,LICOGI - 18,Công ty Cổ phần Đầu tư và Xây dựng số 18,STX,2300
L14,HNX,STOCK,Licogi 14,Công ty Cổ phần Licogi 14,STX,2300
L10,HSX,STOCK,LILAMA 10,Công ty Cổ phần Lilama 10,STO,2700
KTS,HNX,STOCK,Đường Kon Tum,Công ty Cổ phần Đường Kon Tum,STX,3500
KSV,HNX,STOCK,Khoáng sản TKV,Tổng Công ty Khoáng sản TKV - Công ty Cổ phần,STX,1700
KST,HNX,STOCK,KASATI,Công ty Cổ phần KASATI,STX,9500
KSF,HNX,STOCK,Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,STX,8600
KSD,HNX,STOCK,Đầu tư DNA,Công ty Cổ phần Đầu tư DNA,STX,3700
KSB,HSX,STOCK,Khoáng sản Bình Dương,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,STO,2300
KOS,HSX,STOCK,Công ty KOSY,Công ty Cổ phần KOSY,STO,8600
KMT,HNX,STOCK,Kim khí Miền Trung,Công ty Cổ phần Kim khí Miền Trung,STX,1700
KMR,HSX,STOCK,MIRAE,Công ty Cổ phần Mirae,STO,3700
KLB,HSX,STOCK,KienlongBank,Ngân hàng Thương mại Cổ phần Kiên Long,STO,8300
KKC,HNX,STOCK,Tập đoàn Thành Thái,Công ty Cổ phần Tập đoàn Thành Thái,STX,1700
KHS,HNX,STOCK,Thủy sản Kiên Hùng,Công ty Cổ phần Kiên Hùng,STX,3500
KHP,HSX,STOCK,Điện lực Khánh Hòa,Công ty Cổ phần Điện lực Khánh Hòa,STO,7500
KHG,HSX,STOCK,Tập đoàn Khải Hoàn Land,Công ty Cổ phần Tập đoàn Khải Hoàn Land,STO,8600
KDM,HNX,STOCK,Tập đoàn GCL,Công ty Cổ phần Tập đoàn GCL,STX,2300
KDH,HSX,STOCK,Nhà Khang Điền,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,STO,8600
KDC,HSX,STOCK,Tập đoàn KIDO,Công ty Cổ phần Tập đoàn KIDO,STO,3500
KBC,HSX,STOCK,TCT Đô thị Kinh Bắc,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,STO,8600
JVC,HSX,STOCK,Đầu tư Y tế - Dược phẩm Việt Nam,Công ty Cổ phần Đầu tư Y tế - Dược phẩm Việt Nam,STO,4500
IVS,HNX,STOCK,Chứng khoán Guotai Junan (Việt Nam),Công ty Cổ phần Chứng khoán Guotai Junan (Việt Nam),STX,8700
ITQ,HNX,STOCK,Tập đoàn Thiên Quang,Công ty Cổ phần Tập đoàn Thiên Quang,STX,1700
ITD,HSX,STOCK,Công nghệ ITD,Công ty Cổ phần Công nghệ ITD,STO,9500
ITC,HSX,STOCK,Đầu tư kinh doanh Nhà,Công ty Cổ phần Đầu tư - Kinh doanh nhà,STO,8600
IPA,HNX,STOCK,Tập đoàn Đầu tư I.P.A,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,STX,2700
INN,HNX,STOCK,Bao bì và In Nông Nghiệp,Công ty Cổ phần Bao bì và In Nông nghiệp,STX,2700
INC,HNX,STOCK,Tư vấn Đầu tư IDICO,Công ty Cổ phần Tư vấn Đầu tư IDICO,STX,2300
IMP,HSX,STOCK,Dược phẩm Imexpharm,Công ty Cổ phần Dược phẩm Imexpharm,STO,4500
ILB,HSX,STOCK,ICD Tân Cảng Long Bình,Công ty Cổ phần ICD Tân Cảng - Long Bình,STO,2700
IJC,HSX,STOCK,Becamex IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,STO,8600
IDV,HNX,STOCK,PT Hạ tầng Vĩnh Phúc,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,STX,8600
IDJ,HNX,STOCK,Đầu tư IDJ Việt Nam,Công ty Cổ phần Đầu tư IDJ Việt Nam,STX,8600
IDI,HSX,STOCK,Đầu tư và PT Đa Quốc Gia I.D.I,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,STO,3500
IDC,HNX,STOCK,IDICO,Tổng Công ty IDICO - CTCP,STX,8600
ICT,HSX,STOCK,Viễn thông - Tin học Bưu điện,Công ty Cổ phần Viễn thông - Tin học Bưu điện,STO,9500
ICG,HNX,STOCK,Xây dựng Sông Hồng,Công ty Cổ phần Xây dựng Sông Hồng,STX,2300
HVT,HNX,STOCK,Hóa chất Việt trì,Công ty Cổ phần Hóa chất Việt Trì,STX,1300
HVN,HSX,STOCK,Vietnam Airlines,Tổng Công ty Hàng không Việt Nam - CTCP,STO,5700
HVH,HSX,STOCK,Đầu tư và Công nghệ HVC,Công ty Cổ phần Đầu tư và Công nghệ HVC,STO,2300
HUT,HNX,STOCK,Tasco- CTCP,Công ty Cổ phần Tasco,STX,3300
HUB,HSX,STOCK,Xây lắp Huế,Công ty Cổ phần Xây lắp Thừa Thiên Huế,STO,2300
HU1,HSX,STOCK,Xây dựng HUD1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,STO,2300
HTV,HSX,STOCK,Logistics Vicem,Công ty Cổ phần Logistics Vicem,STO,2700
HTN,HSX,STOCK,Hưng Thịnh Incons,Công ty Cổ phần Hưng Thịnh Incons,STO,8600
HTL,HSX,STOCK,Ô tô Trường Long,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,STO,3300
HTI,HSX,STOCK,PT Hạ tầng IDICO,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,STO,2300
HTG,HSX,STOCK,Dệt may Hòa Thọ,Tổng Công ty Cổ phần Dệt may Hòa Thọ,STO,3700
HTC,HNX,STOCK,Thương mại Hóc Môn,Công ty Cổ phần Thương mại Hóc Môn,STX,7500
HT1,HSX,STOCK,VICEM Hà Tiên,Công ty Cổ phần Xi măng VICEM Hà Tiên,STO,2300
HSL,HSX,STOCK,Thực phẩm Hồng Hà,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,STO,3500
HSG,HSX,STOCK,Tập đoàn Hoa Sen,Công ty Cổ phần Tập đoàn Hoa Sen,STO,1700
HRC,HSX,STOCK,Cao su Hòa Bình,Công ty Cổ phần Cao su Hòa Bình,STO,1300
HQC,HSX,STOCK,Địa ốc Hoàng Quân,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,STO,8600
HPX,HSX,STOCK,Đầu tư Hải Phát,Công ty Cổ phần Đầu tư Hải Phát,STO,8600
HPG,HSX,STOCK,Hòa Phát,Công ty Cổ phần Tập đoàn Hòa Phát,STO,1700
HPA,HSX,STOCK,Phát triển Nông nghiệp Hoà Phát,Công ty Cổ phần Phát triển Nông nghiệp Hoà Phát,STO,3500
HOM,HNX,STOCK,Xi măng VICEM Hoàng Mai,Công ty Cổ phần Xi măng VICEM Hoàng Mai,STX,2300
HNA,HSX,STOCK,Thủy điện Hủa Na,Công ty Cổ phần Thủy điện Hủa Na,STO,7500
HMR,HNX,STOCK,Đá Hoàng Mai,Công ty Cổ phần Đá Hoàng Mai,STX,2300
HMH,HNX,STOCK,Tập đoàn Hải Minh,Công ty Cổ phần Hải Minh,STX,2700
HMC,HSX,STOCK,Kim khí TP.HCM,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL,STO,1700
HLD,HNX,STOCK,Bất động sản HUDLAND,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,STX,8600
HLC,HNX,STOCK,Than Hà Lầm,Công ty Cổ phần Than Hà Lầm - Vinacomin,STX,1700
HKT,HNX,STOCK,Đầu tư QP Xanh,Công ty Cổ phần Đầu tư QP Xanh,STX,3500
HJS,HNX,STOCK,Thủy điện Nậm Mu,Công ty Cổ phần Thủy điện Nậm Mu,STX,7500
HII,HSX,STOCK,An Tiến Industries,Công ty Cổ phần An Tiến Industries,STO,1300
HID,HSX,STOCK,Halcom Vietnam,Công ty Cổ phần Halcom Vietnam,STO,2300
HHV,HSX,STOCK,Đầu tư Hạ tầng Giao thông Đèo Cả,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,STO,2300
HHS,HSX,STOCK,Đầu tư DV Hoàng Huy,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,STO,3300
HHP,HSX,STOCK,HHP Global,Công ty Cổ phần HHP Global,STO,1700
HHC,HNX,STOCK,Bánh kẹo Hải Hà,Công ty Cổ phần Bánh kẹo Hải Hà,STX,3500
HGM,HNX,STOCK,Khoáng sản Hà Giang,Công ty Cổ phần Cơ khí và Khoáng sản Hà Giang,STX,1700
HEV,HNX,STOCK,Sách Đại học - Dạy nghề,Công ty Cổ phần Sách Đại học - Dạy nghề,STX,5500
HDG,HSX,STOCK,Tập đoàn Hà Đô,Công ty Cổ phần Tập đoàn Hà Đô,STO,8600
HDC,HSX,STOCK,Phát triển Nhà BR-VT,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,STO,8600
HDB,HSX,STOCK,HDBank,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,STO,8300
HDA,HNX,STOCK,Hãng sơn Đông Á,Công ty Cổ phần Hãng sơn Đông Á,STX,2300
HCT,HNX,STOCK,TM - DV - Vận tải Xi măng Hải Phòng ,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng,STX,2700
HCM,HSX,STOCK,Chứng khoán HSC,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,STO,8700
HCD,HSX,STOCK,SX và Thương mại HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,STO,1300
HCC,HNX,STOCK,Bê tông Hòa Cầm,Công ty Cổ phần Bê tông Hòa Cầm - Intimex,STX,2300
HBS,HNX,STOCK,Chứng khoán Hòa Bình,Công ty Cổ phần Chứng khoán Hòa Bình,STX,8700
HAX,HSX,STOCK,Ô tô Hàng Xanh,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,STO,3300
HAT,HNX,STOCK,TM Bia Hà Nội,Công ty Cổ phần Thương mại Bia Hà Nội,STX,3500
HAS,HSX,STOCK,Hacisco,Công ty Cổ phần Hacisco,STO,2300
HAR,HSX,STOCK,BĐS An Dương Thảo Điền,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,STO,8600
HAP,HSX,STOCK,Tập đoàn Hapaco,Công ty Cổ phần Tập Đoàn Hapaco,STO,1700
HAH,HSX,STOCK,Vận tải và Xếp dỡ Hải An,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,STO,2700
HAG,HSX,STOCK,Hoàng Anh Gia Lai,Công ty Cổ phần Hoàng Anh Gia Lai,STO,3500
HAD,HNX,STOCK,Bia Hà Nội - Hải Dương,Công ty Cổ phần Bia Hà Nội - Hải Dương,STX,3500
GVR,HSX,STOCK,Tập đoàn CN Cao su VN,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,STO,1300
GTA,HSX,STOCK,Gỗ Thuận An,Công ty Cổ phần Chế biến Gỗ Thuận An,STO,1700
GSP,HSX,STOCK,Vận tải Sản phẩm Khí Quốc tế,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,STO,2700
GMX,HNX,STOCK,Gạch ngói Mỹ Xuân,Công ty Cổ phần Gạch ngói Gốm xây dựng Mỹ Xuân,STX,2300
GMH,HSX,STOCK,Minh Hưng Quảng Trị,Công ty Cổ phần Minh Hưng Quảng Trị,STO,2300
GMD,HSX,STOCK,Gemadept,Công ty Cổ phần Gemadept,STO,2700
GMA,HNX,STOCK,G-Automobile,Công ty Cổ phần G-Automobile,STX,3300
GLT,HNX,STOCK,KT Điện Toàn Cầu,Công ty Cổ phần Kỹ thuật điện Toàn Cầu,STX,3700
GKM,HNX,STOCK,GKM Holdings,Công ty Cổ phần GKM Holdings,STX,2300
GIL,HSX,STOCK,XNK Bình Thạnh,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,STO,3700
GIC,HNX,STOCK,ĐT Dịch vụ và PT Xanh,Công ty Cổ phần VSC Green Logistics,STX,2700
GHC,HSX,STOCK,Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,STO,7500
GEX,HSX,STOCK,Tập đoàn Gelex,Công ty Cổ phần Tập đoàn Gelex,STO,2700
GEL,HSX,STOCK,Hạ tầng GELEX,Công ty Cổ phần Hạ tầng GELEX,STO,2300
GEG,HSX,STOCK,Điện Gia Lai,Công ty Cổ phần Điện Gia Lai,STO,7500
GEE,HSX,STOCK,Thiết bị điện GELEX,Công ty Cổ phần Điện lực Gelex,STO,2700
GDW,HNX,STOCK,Cấp nước Gia Định,Công ty Cổ phần Cấp nước Gia Định,STX,7500
GDT,HSX,STOCK,Gỗ Đức Thành,Công ty Cổ phần Chế biến Gỗ Đức Thành,STO,3700
GAS,HSX,STOCK,PV Gas,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,STO,7500
FTS,HSX,STOCK,Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,STO,8700
FRT,HSX,STOCK,Bán lẻ FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,STO,5300
FPT,HSX,STOCK,FPT Corp,Công ty Cổ phần FPT,STO,9500
FMC,HSX,STOCK,Thực phẩm Sao Ta,Công ty Cổ phần Thực phẩm Sao Ta,STO,3500
FIT,HSX,STOCK,Tập đoàn F.I.T,Công ty Cổ phần Tập đoàn F.I.T,STO,4500
FIR,HSX,STOCK,Địa ốc First Real,Công ty Cổ phần Địa ốc First Real,STO,8600
FID,HNX,STOCK,Đầu tư và PT doanh nghiệp VN,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,STX,2300
FDC,HSX,STOCK,FIDECO,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,STO,8600
FCN,HSX,STOCK,FECON CORP,Công ty Cổ phần FECON,STO,2300
FCM,HSX,STOCK,Bê tông Phan Vũ Hà Nam,Công ty Cổ phần Bê tông Phan Vũ Hà Nam,STO,2300
EVS,HNX,STOCK,Chứng khoán EVS,Công ty Cổ phần Chứng khoán EVS,STX,8700
EVG,HSX,STOCK,Tập đoàn Everland,Công ty Cổ phần Tập đoàn Everland,STO,2300
EVF,HSX,STOCK,Tài chính Tổng hợp Điện lực,Công ty Tài chính Tổng hợp Cổ phần Điện Lực,STO,8700
EVE,HSX,STOCK,Everpia,Công ty Cổ phần Everpia,STO,3700
ELC,HSX,STOCK,ELCOM,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,STO,9500
EID,HNX,STOCK,Phát triển GD Hà Nội,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,STX,5500
EIB,HSX,STOCK,Eximbank,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,STO,8300
ECI,HNX,STOCK,Bản đồ và tranh ảnh GD,Công ty Cổ phần Tập đoàn ECI,STX,5500
EBS,HNX,STOCK,Sách Giáo dục Hà Nội,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,STX,5500
DXV,HSX,STOCK,Vật liệu Xây dựng Đà Nẵng,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,STO,2300
DXS,HSX,STOCK,Dịch vụ BĐS Đất Xanh,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,STO,8600
DXP,HNX,STOCK,Cảng Đoạn Xá,Công ty Cổ phần Cảng Đoạn Xá,STX,2700
DXG,HSX,STOCK,Địa ốc Đất Xanh,Công ty Cổ phần Tập đoàn Đất Xanh,STO,8600
DVP,HSX,STOCK,ĐT và PT Cảng Đình Vũ,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,STO,2700
DVM,HNX,STOCK,Dược liệu Việt Nam,Công ty Cổ phần Dược liệu Việt Nam,STX,4500
DTT,HSX,STOCK,Kỹ nghệ Đô Thành,Công ty Cổ phần Kỹ nghệ Đô Thành,STO,1300
DTL,HSX,STOCK,Đại Thiên Lộc,Công ty Cổ phần Đại Thiên Lộc,STO,1700
DTK,HNX,STOCK,Vinacomin Power,Tổng Công ty Điện lực TKV - Công ty Cổ phần,STX,7500
DTG,HNX,STOCK,Dược phẩm Tipharco,Công ty Cổ phần Dược phẩm Tipharco,STX,4500
DTD,HNX,STOCK,Đầu tư Phát triển Thành Đạt,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,STX,8600
DTA,HSX,STOCK,BĐS Đệ Tam,Công ty Cổ phần Đệ Tam,STO,8600
DST,HNX,STOCK,Đầu tư Sao Thăng Long,Công ty Cổ phần Đầu tư Sao Thăng Long,STX,5500
DSN,HSX,STOCK,Công viên nước Đầm Sen,Công ty Cổ phần Công viên nước Đầm Sen,STO,5700
DSE,HSX,STOCK,Chứng Khoán DNSE,Công ty Cổ phần Chứng khoán DNSE,STO,8700
DSC,HSX,STOCK,Chứng khoán DSC,Công ty Cổ phần Chứng khoán DSC,STO,8700
DS3,HNX,STOCK,Quản lý Đường sông số 3,Công ty Cổ phần DS3,STX,2700
DRL,HSX,STOCK,Thủy điện - Điện lực 3,Công ty Cổ phần Thủy điện - Điện lực 3,STO,7500
DRH,HSX,STOCK,DRH Holdings,Công ty Cổ phần DRH Holdings,STO,8600
DRC,HSX,STOCK,Cao su Đà Nẵng,Công ty Cổ phần Cao su Đà Nẵng,STO,3300
DQC,HSX,STOCK,Tập đoàn Điện Quang,Công ty Cổ phần Tập đoàn Điện Quang,STO,3700
DPR,HSX,STOCK,Cao su Đồng Phú,Công ty Cổ phần Cao su Đồng Phú,STO,1300
DPM,HSX,STOCK,Tổng Công ty Phân bón và Hóa chất Dầu khí,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,STO,1300
DPG,HSX,STOCK,Tập đoàn Đạt Phương,Công ty Cổ phần Tập đoàn Đạt Phương,STO,2300
DP3,HNX,STOCK,Dược Phẩm TW3,Công ty Cổ Phần Dược Phẩm Trung Ương 3,STX,4500
DNP,HNX,STOCK,DNP Holding,Công ty Cổ phần DNP Holding,STX,2300
DNC,HNX,STOCK,Điện nước Hải Phòng,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,STX,7500
DMC,HSX,STOCK,Dược phẩm DOMESCO,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,STO,4500
DLG,HSX,STOCK,Đức Long Gia Lai,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,STO,2300
DL1,HNX,STOCK,Tập đoàn Alpha 7,Công ty Cổ phần Tập đoàn Alpha Seven,STX,2700
DIH,HNX,STOCK,PT Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,STX,2300
DIG,HSX,STOCK,DIC Corp,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,STO,8600
DHT,HNX,STOCK,Dược phẩm Hà Tây,Công ty Cổ phần Dược phẩm Hà Tây,STX,4500
DHP,HNX,STOCK,Điện cơ Hải Phòng,Công ty Cổ phần Điện cơ Hải Phòng,STX,2700
DHM,HSX,STOCK,Khoáng sản Dương Hiếu,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,STO,1700
DHG,HSX,STOCK,Dược Hậu Giang,Công ty Cổ phần Dược Hậu Giang,STO,4500
DHC,HSX,STOCK,Đông Hải Bến Tre,Công ty Cổ phần Đông Hải Bến Tre,STO,1700
DHA,HSX,STOCK,Hóa An,Công ty Cổ phần Hóa An,STO,2300
DGW,HSX,STOCK,Thế Giới Số,Công ty Cổ phần Thế Giới Số,STO,5300
DGC,HSX,STOCK,Hóa chất Đức Giang,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,STO,1300
DDG,HNX,STOCK,Đầu tư CN XNK Đông Dương,Công ty Cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,STX,7500
DCM,HSX,STOCK,Đạm Cà Mau,Công ty Cổ phần - Tổng Công ty Phân bón Dầu Khí Cà Mau,STO,1300
DCL,HSX,STOCK,Dược phẩm Cửu Long,Công ty Cổ phần Dược phẩm Cửu Long,STO,4500
DC4,HSX,STOCK,Dicera Holdings,Công ty Cổ phần Dicera Holdings,STO,2300
DC2,HNX,STOCK,DIC Số 2,Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2,STX,2300
DBT,HSX,STOCK,Dược phẩm Bến Tre,Công ty Cổ phần Dược phẩm Bến Tre,STO,4500
DBD,HSX,STOCK,Dược - TB Y tế Bình Định,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),STO,4500
DBC,HSX,STOCK,Tập đoàn DABACO,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,STO,3500
DAT,HSX,STOCK,ĐT Du lịch và PT Thủy sản,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,STO,3500
DAH,HSX,STOCK,Tập đoàn Khách sạn Đông Á,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,STO,5700
DAE,HNX,STOCK,Sách Giáo dục Đà Nẵng,Công ty Cổ phần Sách Giáo dục tại Thành phố Đà Nẵng,STX,5500
DAD,HNX,STOCK,Phát triển GD Đà Nẵng,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,STX,5500
D2D,HSX,STOCK,Phát triển Đô thị số 2,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,STO,8600
D11,HNX,STOCK,Địa ốc 11,Công ty Cổ phần Địa ốc 11,STX,8600
CX8,HNX,STOCK,Constrexim số 8,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,STX,2300
CVT,HSX,STOCK,CMC JSC,Công ty Cổ phần CMC,STO,2300
CTT,HNX,STOCK,Chế tạo máy - Vinacomin,Công ty Cổ phần Chế tạo máy - Vinacomin,STX,2700
CTS,HSX,STOCK,Chứng khoán Vietinbank,Công ty Cổ phần Chứng khoán Vietinbank,STO,8700
CTR,HSX,STOCK,Công trình Viettel,Tổng Công ty Cổ phần Công trình Viettel,STO,2300
CTP,HNX,STOCK,CTP Group,Công ty Cổ phần Tập đoàn CTP Group,STX,3500
CTI,HSX,STOCK,Cường Thuận IDICO,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,STO,2300
CTG,HSX,STOCK,VietinBank,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,STO,8300
CTF,HSX,STOCK,City Auto,Công ty Cổ phần City Auto,STO,3300
CTD,HSX,STOCK,Xây dựng Coteccons,Công ty Cổ phần Xây dựng Coteccons,STO,2300
CTB,HNX,STOCK,Bơm Hải Dương,Công ty Cổ phần Chế tạo Bơm Hải Dương,STX,2700
CSV,HSX,STOCK,Hóa chất Cơ bản miền Nam,Công ty Cổ phần Hóa chất Cơ bản miền Nam,STO,1300
CST,HNX,STOCK,Than Cao Sơn - TKV,Công ty Cổ phần Than Cao Sơn - TKV,STX,1700
CSM,HSX,STOCK,Cao su Miền Nam,Công ty Cổ phần Công nghiệp Cao su Miền Nam,STO,3300
CSC,HNX,STOCK,Tập đoàn COTANA,Công ty Cổ phần Tập đoàn COTANA,STX,2300
CRV,HSX,STOCK,Tập đoàn Bất động sản CRV,Công ty Cổ phần Tập đoàn Bất động sản CRV,STO,8600
CRE,HSX,STOCK,Bất động sản Thế Kỷ,Công ty Cổ phần Bất động sản Thế Kỷ,STO,8600
CRC,HSX,STOCK,Create Capital Việt Nam,Công ty Cổ phần Create Capital Việt Nam,STO,2300
CPC,HNX,STOCK,Thuốc sát trùng Cần Thơ,Công ty Cổ phần Thuốc sát trùng Cần Thơ,STX,1300
COM,HSX,STOCK,Vật tư - Xăng dầu,Công ty Cổ phần Vật tư - Xăng dầu,STO,5300
CNG,HSX,STOCK,CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,STO,7500
CMX,HSX,STOCK,CAMIMEX Group,Công ty Cổ phần CAMIMEX Group,STO,3500
CMV,HSX,STOCK,Thương nghiệp Cà Mau,Công ty Cổ phần Thương nghiệp Cà Mau,STO,5300
CMS,HNX,STOCK,Tập đoàn CMH Việt Nam,Công ty Cổ phần Tập đoàn CMH Việt Nam,STX,2300
CMG,HSX,STOCK,Tập đoàn Công nghệ CMC,Công ty Cổ phần Tập đoàn Công nghệ CMC,STO,9500
CMC,HNX,STOCK,Đầu tư CMC,Công ty Cổ phần Đầu tư CMC,STX,2700
CLW,HSX,STOCK,Cấp nước Chợ Lớn,Công ty Cổ phần Cấp nước Chợ Lớn,STO,7500
CLM,HNX,STOCK,Xuất nhập khẩu Than - Vinacomin,Công ty Cổ phần Xuất nhập khẩu Than - Vinacomin,STX,1700
CLL,HSX,STOCK,Cảng Cát Lái,Công ty Cổ phần Cảng Cát Lái,STO,2700
CLH,HNX,STOCK,Xi măng La Hiên,Công ty Cổ phần Xi măng La Hiên VVMI,STX,2300
CLC,HSX,STOCK,Thuốc lá Cát Lợi,Công ty Cổ phần Cát Lợi,STO,3700
CKV,HNX,STOCK,CokyVina,Công ty Cổ phần CokyVina,STX,9500
CKG,HSX,STOCK,Tập đoàn CIC,Công ty Cổ phần Tập đoàn CIC,STO,8600
